"TESTING PROCEDURE","REFERENCE NAME","EVIDENCE CATEGORY","REASONING"
"6.3.2.a","Requirement 6.3.2..a Bespoke, Custom, and Third-Party Software Component Inventory Maintenance and Vulnerability Identification Documentation and Interview Examination","Documentation Evidence and Interview Evidence","This involves examining documentation and interviewing personnel to verify that an inventory of bespoke and custom software and third-party software components is maintained, and that the inventory is used to identify and address vulnerabilities, fitting under the review of documents and aligning with the collection of interview notes."
"6.3.2.b","Requirement 6.3.2..b Bespoke, Custom, and Third-Party Software Component Inventory Accuracy and Completeness Verification Examination","Documentation Evidence","This part involves examining software documentation, including for bespoke and custom software that integrates third-party software components, and comparing it to the inventory to verify that the inventory includes the bespoke and custom software and third-party software components, aligning with the review of documents."
"6.3.3.a","Requirement 6.3.3..a Security Patch and Update Installation Process Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify processes are defined for addressing vulnerabilities by installing applicable security patches/updates in accordance with all elements specified in this requirement, fitting under the review of documents."
"6.3.3.b","Requirement 6.3.3..b Security Patch and Update Installation on System Components Verification Examination","Documentation Evidence","This part involves examining system components and related software and comparing the list of installed security patches/updates to the most recent security patch/update information to verify vulnerabilities are addressed in accordance with all elements specified in this requirement, aligning with the review of documents."
"6.4.2 (Part 1 - Examine System Configuration Settings)","Requirement 6.4.2.. Public-Facing Web Applications Attack Prevention Technical Solution Configuration Settings Examination","Documentation Evidence","This involves examining the system configuration settings to verify that an automated technical solution that detects and prevents web-based attacks is in place in accordance with all elements specified in this requirement, fitting under the review of documents."
"6.4.2 (Part 2 - Examine Audit Logs)","Requirement 6.4.2.. Public-Facing Web Applications Attack Prevention Solution Audit Logs Examination","Documentation Evidence","This part involves examining audit logs to confirm that the automated technical solution for detecting and preventing web-based attacks on public-facing web applications is functioning as specified, aligning with the review of documents."
"6.4.2 (Part 3 - Interview Responsible Personnel)","Requirement 6.4.2.. Automated Web Attack Prevention Technical Solution Implementation Verification Interview","Interview Evidence","This requires interviewing responsible personnel to verify that the automated technical solution for preventing web-based attacks on public-facing web applications is in place and operational as per the specified requirement, aligning with the collection of interview notes."
"6.4.3.a","Requirement 6.4.3..a Payment Page Scripts Management Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined for managing all payment page scripts that are loaded and executed in the consumer???s browser, in accordance with all elements specified in this requirement, fitting under the review of documents."
"6.4.3.b (Part 1 - Interview Responsible Personnel)","Requirement 6.4.3..b Payment Page Scripts Management in Consumer Browser Verification Interview","Interview Evidence","This requires interviewing responsible personnel to verify that all payment page scripts that are loaded and executed in the consumer???s browser are managed in accordance with all specified elements, aligning with the collection of interview notes."
"6.4.3.b (Part 2 - Examine Inventory Records)","Requirement 6.4.3..b Payment Page Scripts Inventory Records Examination","Documentation Evidence","This part involves examining inventory records to confirm that payment page scripts are managed as per the PCI DSS requirements, aligning with the review of documents."
"6.4.3.b (Part 3 - Examine System Configurations)","Requirement 6.4.3..b Payment Page Scripts System Configuration Management Verification Examination","Documentation Evidence","This involves examining system configurations to ensure that payment page scripts executed in the consumer???s browser are managed in accordance with all specified elements, fitting under the review of documents."
"6.5.1.a","Requirement 6.5.1..a Change Control Procedures for System Components Documentation Examination","Documentation Evidence","This involves examining documented change control procedures to verify procedures are defined for changes to all system components in the production environment to include all elements specified in this requirement, fitting under the review of documents."
"6.5.1.b (Part 1 - Examine Recent Changes)","Requirement 6.5.1..b Recent System Component Changes Compliance Verification Examination","Documentation Evidence","This part involves examining recent changes to system components and tracing those changes back to related change control documentation, to verify the change is implemented in accordance with all elements specified in this requirement, aligning with the review of documents."
"6.5.1.b (Part 2 - Examine Change Control Documentation)","Requirement 6.5.1..b Change Control Documentation for System Component Changes Examination","Documentation Evidence","This involves examining change control documentation for each change to system components to ensure each change is implemented in accordance with all specified elements, fitting under the review of documents."
"6.5.2 (Part 1 - Examine Documentation for Significant Changes)","Requirement 6.5.2.. Significant Changes Documentation Compliance Verification Examination","Documentation Evidence","This involves examining documentation for significant changes to verify that the entity confirmed applicable PCI DSS requirements were in place on all new or changed systems and networks, and that documentation was updated as applicable, fitting under the review of documents."
"6.5.2 (Part 2 - Interview Personnel)","Requirement 6.5.2.. PCI DSS Requirements Confirmation in System and Network Changes Verification Interview","Interview Evidence","This requires interviewing personnel to verify that the applicable PCI DSS requirements were confirmed and documented for all new or changed systems and networks, aligning with the collection of interview notes."
"6.5.2 (Part 3 - Observe Affected Systems/Networks)","Requirement 6.5.2.. New or Changed Systems and Networks PCI DSS Compliance Observation","Observation Evidence","This involves observing the affected systems/networks to confirm that applicable PCI DSS requirements were in place and documentation was updated accordingly, fitting under the observation of processes."
"6.5.3.a","Requirement 6.5.3..a Pre-Production and Production Environment Separation Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined for separating the pre-production environment from the production environment via access controls that enforce the separation, fitting under the review of documents."
"6.5.3.b (Part 1 - Examine Network Documentation)","Requirement 6.5.3..b Pre-Production and Production Environment Network Separation Documentation Examination","Documentation Evidence","This part involves examining network documentation to verify that the pre-production environment is separate from the production environment(s), aligning with the review of documents."
"6.5.3.b (Part 2 - Examine Configurations)","Requirement 6.5.3..b Network Security Controls for Environment Separation Configuration Examination","Documentation Evidence","This involves examining configurations of network security controls to confirm that the pre-production environment is separate from the production environment(s), fitting under the review of documents."
"6.5.3.c","Requirement 6.5.3..c Pre-Production and Production Environment Access Control Settings Examination","Documentation Evidence","This requires examining access control settings to verify that access controls are in place to enforce separation between the pre-production and production environment(s), aligning with the review of documents."
"6.5.4.a","Requirement 6.5.4..a Role and Function Separation for Change Deployment Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined for separating roles and functions to provide accountability such that only reviewed and approved changes are deployed, fitting under the review of documents."
"6.5.4.b (Part 1 - Observe Processes)","Requirement 6.5.4..b Role and Function Separation in Change Deployment Process Observation","Observation Evidence","This requires observing processes to verify implemented controls separate roles and functions and provide accountability such that only reviewed and approved changes are deployed, fitting under the observation of processes."
"6.5.4.b (Part 2 - Interview Personnel)","Requirement 6.5.4..b Change Deployment Accountability and Role Separation Verification Interview","Interview Evidence","This involves interviewing personnel to confirm that the implemented controls effectively separate roles and functions, ensuring that only reviewed and approved changes are deployed, aligning with the collection of interview notes."
"6.5.5.a","Requirement 6.5.5..a Policies and Procedures for Live PANs Usage in Pre-Production Environments Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined for not using live PANs in pre-production environments, except where those environments are in a Cardholder Data Environment (CDE) and protected in accordance with all applicable PCI DSS requirements, fitting under the review of documents."
"6.5.5.b (Part 1 - Observe Testing Processes)","Requirement 6.5.5..b Live PANs Usage in Pre-Production Environments Testing Process Observation","Observation Evidence","This requires observing testing processes to verify procedures are in place to ensure live PANs are not used in pre-production environments, except where those environments are in a CDE and protected in accordance with all applicable PCI DSS requirements, fitting under the observation of processes."
"6.5.5.b (Part 2 - Interview Personnel)","Requirement 6.5.5..b Compliance Verification for Live PANs Usage in Pre-Production Environments Interview","Interview Evidence","This involves interviewing personnel to confirm that procedures are in place to ensure live PANs are not used in pre-production environments, except where those environments are in a CDE and protected in accordance with all applicable PCI DSS requirements, aligning with the collection of interview notes."
"6.5.5.c","Requirement 6.5.5..c Live PANs Usage Verification in Pre-Production Test Data Examination","Documentation Evidence","This involves examining pre-production test data to verify live PANs are not used in pre-production environments, except where those environments are in a Cardholder Data Environment (CDE) and protected in accordance with all applicable PCI DSS requirements, fitting under the review of documents."
"6.5.6.a","Requirement 6.5.6..a Test Data and Accounts Removal Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify that processes are defined for the removal of test data and test accounts from system components before the system goes into production, fitting under the review of documents."
"6.5.6.b (Part 1 - Observe Testing Processes)","Requirement 6.5.6..b Test Data and Accounts Removal Process Observation for Software","Observation Evidence","This requires observing testing processes for both off-the-shelf software and in-house applications to verify test data and test accounts are removed before a system goes into production, fitting under the observation of processes."
"6.5.6.b (Part 2 - Interview Personnel)","Requirement 6.5.6..b Test Data and Accounts Removal Verification Interview for Software","Interview Evidence","This involves interviewing personnel to confirm that test data and test accounts are removed before a system goes into production, aligning with the collection of interview notes."
"6.5.6.c","Requirement 6.5.6..c Production Systems Test Data and Accounts Presence Verification Examination","Documentation Evidence","This part involves examining data and accounts for recently installed or updated off-the-shelf software and in-house applications to verify there is no test data or test accounts on systems in production, aligning with the review of documents."
"7.1.1 (Part 1 - Examine Documentation)","Requirement 7.1.1.. Security Policies and Procedures for Requirement 7 Documentation Examination","Documentation Evidence","This involves examining documentation to verify that security policies and operational procedures identified in Requirement 7 are managed in accordance with all elements specified in this requirement, fitting under the review of documents."
"7.1.1 (Part 2 - Interview Personnel)","Requirement 7.1.1.. Security Policies and Procedures for Requirement 7 Management Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that security policies and operational procedures for Requirement 7 are managed as per the PCI DSS specifications, aligning with the collection of interview notes."
"7.1.2.a","Requirement 7.1.2..a Roles and Responsibilities for Requirement 7 Activities Documentation Examination","Documentation Evidence","This involves examining documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 7 are documented and assigned, fitting under the review of documents."
"7.1.2.b","Requirement 7.1.2..b Roles and Responsibilities for Requirement 7 Activities Understanding Verification Interviews","Interview Evidence","This requires interviewing personnel with responsibility for performing activities in Requirement 7 to verify that roles and responsibilities are assigned as documented and are understood, aligning with the collection of interview notes."
"7.2.1.a","Requirement 7.2.1..a Access Control Model Definition Policies and Procedures Documentation and Personnel Interview Examination","Documentation Evidence and Interview Evidence","This involves examining documented policies and procedures and interviewing personnel to verify the access control model is defined in accordance with all elements specified in this requirement, fitting under the review of documents and aligning with the collection of interview notes."
"7.2.1.b","Requirement 7.2.1..b Access Control Model Settings Appropriateness Verification Examination","Documentation Evidence","This part involves examining access control model settings and verifying that access needs are appropriately defined in accordance with all elements specified in this requirement, aligning with the review of documents."
"7.2.2.a","Requirement 7.2.2..a Access Assignment Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify they cover assigning access to users in accordance with all elements specified in this requirement, fitting under the review of documents."
"7.2.2.b (Part 1 - Examine User Access Settings)","Requirement 7.2.2..b User and Privileged Access Settings Compliance Verification Examination","Documentation Evidence","This part involves examining user access settings, including for privileged users, to verify that privileges assigned are in accordance with all elements specified in this requirement, aligning with the review of documents."
"7.2.2.b (Part 2 - Interview Management Personnel)","Requirement 7.2.2..b Privileged Access Assignment Management Verification Interview","Interview Evidence","This requires interviewing responsible management personnel to confirm that privileges assigned to users, including privileged users, are in accordance with all specified elements, aligning with the collection of interview notes."
"7.2.2.c","Requirement 7.2.2..c Privileged User Access Assignment Process Verification Interview","Interview Evidence","This involves interviewing personnel responsible for assigning access to verify that privileged user access is assigned in accordance with all elements specified in this requirement, fitting under the collection of interview notes."
"7.2.3.a","Requirement 7.2.3..a Privilege Approval Processes Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify they define processes for approval of all privileges by authorized personnel, fitting under the review of documents."
"7.2.3.b (Part 1 - Examine User IDs and Assigned Privileges)","Requirement 7.2.3..b User IDs and Privileges Assignment Verification Examination","Documentation Evidence","This part involves examining user IDs and assigned privileges to verify that documented approval exists for the assigned privileges, that the approval was by authorized personnel, and that specified privileges match the roles assigned to the individual, aligning with the review of documents."
"7.2.3.b (Part 2 - Examine Documented Approvals)","Requirement 7.2.3..b Privilege Assignment Authorized Approvals Documentation Examination","Documentation Evidence","This involves examining the documented approvals to confirm that they align with the privileges assigned to user IDs and were authorized by appropriate personnel, fitting under the review of documents."
"7.2.4.a","Requirement 7.2.4..a User Accounts and Access Privileges Review Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify they define processes to review all user accounts and related access privileges, including third-party/vendor accounts, in accordance with all elements specified in this requirement, fitting under the review of documents."
"7.2.4.b (Part 1 - Interview Responsible Personnel)","Requirement 7.2.4..b User Accounts Review Process Compliance Verification Interview","Interview Evidence","This requires interviewing responsible personnel to verify that periodic reviews of user accounts are conducted and that the results align with all specified elements, aligning with the collection of interview notes."
"7.2.4.b (Part 2 - Examine Documented Results)","Requirement 7.2.4..b Periodic User Accounts Review Results Documentation Examination","Documentation Evidence","This part involves examining the documented results of periodic reviews of user accounts to confirm that all the results are in accordance with all elements specified in this requirement, fitting under the review of documents."
"7.2.5.a","Requirement 7.2.5..a System and Application Accounts Management Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify they define processes to manage and assign application and system accounts and related access privileges in accordance with all elements specified in this requirement, fitting under the review of documents."
"7.2.5.b (Part 1 - Examine Privileges)","Requirement 7.2.5..b System and Application Accounts Access Privileges Compliance Verification Examination","Documentation Evidence","This part involves examining privileges associated with system and application accounts to verify that application and system accounts and related access privileges are assigned and managed in accordance with all elements specified in this requirement, aligning with the review of documents."
"7.2.5.b (Part 2 - Interview Responsible Personnel)","Requirement 7.2.5..b System and Application Accounts Management Verification Interview","Interview Evidence","This requires interviewing responsible personnel to confirm that application and system accounts and related access privileges are assigned and managed as per the PCI DSS specifications, aligning with the collection of interview notes."
"7.2.5.1.a","Requirement 7.2.5.1.a Application and System Accounts Review Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining policies and procedures to verify they define processes to review all application and system accounts and related access privileges in accordance with all elements specified in this requirement, fitting under the review of documents."
"7.2.5.1.b","Requirement 7.2.5.1.b Periodic Account Review Frequency Risk Analysis Documentation Examination","Documentation Evidence","This part involves examining the entity???s targeted risk analysis for the frequency of periodic reviews of application and system accounts and related access privileges to verify the risk analysis was performed in accordance with all elements specified in Requirement 12.3.1, aligning with the review of documents."
"7.2.5.1.c (Part 1 - Interview Responsible Personnel)","Requirement 7.2.5.1.c Periodic Account Review Process Compliance Verification Interview","Interview Evidence","This requires interviewing responsible personnel to verify that periodic reviews of system and application accounts and related privileges occur in accordance with all specified elements, aligning with the collection of interview notes."
"7.2.5.1.c (Part 2 - Examine Documented Results)","Requirement 7.2.5.1.c Documented Results of Periodic Account Reviews Examination","Documentation Evidence","This involves examining documented results of periodic reviews of system and application accounts and related privileges to confirm that the reviews are conducted as per the PCI DSS specifications, fitting under the review of documents."
"7.2.6.a","Requirement 7.2.6..a User Access Granting to Cardholder Data Repositories Policies and Procedures Documentation and Interview Examination","Documentation Evidence and Interview Evidence","This involves examining policies and procedures and interviewing personnel to verify processes are defined for granting user access to query repositories of stored cardholder data, in accordance with all elements specified in this requirement, fitting under the review of documents and aligning with the collection of interview notes."
"7.2.6.b","Requirement 7.2.6..b Cardholder Data Repositories Query Access Configuration Settings Compliance Examination","Documentation Evidence","This part involves examining configuration settings for querying repositories of stored cardholder data to verify they are in accordance with all elements specified in this requirement, aligning with the review of documents."
"7.3.1 (Part 1 - Examine Vendor Documentation)","Requirement 7.3.1.. Access Control Systems Vendor Documentation Examination","Documentation Evidence","This involves examining vendor documentation to verify that access is managed for each system component via an access control system(s) that restricts access based on a user???s need to know, covering all system components, fitting under the review of documents."
"7.3.1 (Part 2 - Examine System Settings)","Requirement 7.3.1.. System Components Access Control Settings Compliance Verification Examination","Documentation Evidence","This part involves examining system settings to confirm that access is managed for each system component via an access control system in accordance with the user???s need to know and that it covers all system components, aligning with the review of documents."
"7.3.2 (Part 1 - Examine Vendor Documentation)","Requirement 7.3.2.. Access Control System Configuration Vendor Documentation Examination","Documentation Evidence","This involves examining vendor documentation to verify that the access control system(s) is configured to enforce permissions assigned to individuals, applications, and systems based on job classification and function, fitting under the review of documents."
"7.3.2 (Part 2 - Examine System Settings)","Requirement 7.3.2.. Job Classification Based Access Control System Settings Compliance Examination","Documentation Evidence","This part involves examining system settings to confirm that the access control system(s) is configured to enforce permissions assigned to individuals, applications, and systems based on job classification and function, aligning with the review of documents."
"7.3.3 (Part 1 - Examine Vendor Documentation)","Requirement 7.3.3.. Access Control Systems Deny All Default Vendor Documentation Examination","Documentation Evidence","This involves examining vendor documentation to verify that the access control system(s) is set to ???deny all??? by default, fitting under the review of documents."
"7.3.3 (Part 2 - Examine System Settings)","Requirement 7.3.3.. Deny All Default Access Control System Settings Verification Examination","Documentation Evidence","This part involves examining system settings to confirm that the access control system(s) is set to ???deny all??? by default, aligning with the review of documents."
"8.1.1 (Part 1 - Examine Documentation)","Requirement 8.1.1.. Security Policies and Procedures for Requirement 8 Documentation Examination","Documentation Evidence","This involves examining documentation to verify that security policies and operational procedures identified in Requirement 8 are managed in accordance with all elements specified in this requirement, fitting under the review of documents."
"8.1.1 (Part 2 - Interview Personnel)","Requirement 8.1.1.. Security Policies and Procedures for Requirement 8 Management Verification Interviews","Interview Evidence","This requires interviewing personnel to confirm that security policies and operational procedures for Requirement 8 are managed as per the PCI DSS specifications, aligning with the collection of interview notes."
"8.1.2.a","Requirement 8.1.2..a Roles and Responsibilities for Requirement 8 Activities Documentation Examination","Documentation Evidence","This involves examining documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 8 are documented and assigned, fitting under the review of documents."
"8.1.2.b","Requirement 8.1.2..b Roles and Responsibilities for Requirement 8 Activities Understanding Verification Interview","Interview Evidence","This requires interviewing personnel with responsibility for performing activities in Requirement 8 to verify that roles and responsibilities are assigned as documented and are understood, aligning with the collection of interview notes."
"8.2.1.a","Requirement 8.2.1..a Unique User ID Assignment Verification Interview","Interview Evidence","This involves interviewing responsible personnel to verify that all users are assigned a unique ID for access to system components and cardholder data, aligning with the collection of interview notes."
"8.2.1.b (Part 1 - Examine Audit Logs)","Requirement 8.2.1..b System Access Unique Identification Audit Logs Examination","Documentation Evidence","This part involves examining audit logs to verify that access to system components and cardholder data can be uniquely identified and associated with individuals, fitting under the review of documents."
"8.2.1.b (Part 2 - Examine Other Evidence)","Requirement 8.2.1..b Individual User Access Identification Evidence Examination","Documentation Evidence","This involves examining any other evidence to confirm that access to system components and cardholder data can be uniquely identified and associated with individuals, aligning with the review of documents."
"8.2.2.a","Requirement 8.2.2..a Shared Authentication Credentials Management User Account Lists and Documentation Examination","Documentation Evidence","This involves examining user account lists on system components and applicable documentation to verify that shared authentication credentials are only used when necessary, on an exception basis, and are managed in accordance with all elements specified in this requirement, fitting under the review of documents."
"8.2.2.b","Requirement 8.2.2..b Shared Authentication Credentials Policies and Procedures Documentation Examination","Documentation Evidence","This part involves examining authentication policies and procedures to verify processes are defined for shared authentication credentials such that they are only used when necessary, on an exception basis, and are managed in accordance with all elements specified in this requirement, aligning with the review of documents."
"8.2.2.c","Requirement 8.2.2..c Shared Authentication Credentials Usage Compliance Verification Interview","Interview Evidence","This requires interviewing system administrators to verify that shared authentication credentials are only used when necessary, on an exception basis, and are managed in accordance with all elements specified in this requirement, aligning with the collection of interview notes."
"8.2.3 (Part 1 - Examine Authentication Policies and Procedures)","Requirement 8.2.3.. Service Provider Unique Authentication for Customer Remote Access Policies and Procedures Documentation Examination","Documentation Evidence","This involves examining authentication policies and procedures to verify that service providers with remote access to customer premises use unique authentication factors for remote access to each customer premises, fitting under the review of documents."
"8.2.3 (Part 2 - Interview Personnel)","Requirement 8.2.3.. Service Provider Unique Authentication for Customer Remote Access Compliance Verification Interview","Interview Evidence","This requires interviewing personnel to confirm that service providers with remote access to customer premises use unique authentication factors for remote access to each customer premises, aligning with the collection of interview notes."
"8.2.4 (Part 1 - Examine Documented Authorizations)","Requirement 8.2.4.. Account Lifecycle Management Authorizations Documentation Examination","Documentation Evidence","This involves examining documented authorizations across various phases of the account lifecycle (additions, modifications, and deletions) to verify the activity has been managed in accordance with all elements specified in this requirement, fitting under the review of documents."
"8.2.4 (Part 2 - Examine System Settings)","Requirement 8.2.4.. Account Lifecycle Management System Settings Compliance Verification Examination","Documentation Evidence","This part involves examining system settings to confirm that account lifecycle management activities (additions, modifications, and deletions) have been managed in accordance with all elements specified in this requirement, aligning with the review of documents."
"8.2.5.a","Requirement 8.2.5..a Terminated User IDs Deactivation and Removal Verification Examination","Documentation Evidence","This involves examining information sources for terminated users and reviewing current user access lists???for both local and remote access???to verify that terminated user IDs have been deactivated or removed from the access lists, fitting under the review of documents."
"8.2.5.b","Requirement 8.2.5..b Physical Authentication Factors Retrieval for Terminated Users Verification Interview","Interview Evidence","This requires interviewing responsible personnel to verify that all physical authentication factors???such as smart cards, tokens, etc.???have been returned or deactivated for terminated users, aligning with the collection of interview notes."
"8.2.6 (Part 1 - Examine User Accounts and Last Logon Information)","Requirement 8.2.6.. Inactive User Accounts Deactivation or Removal within 90 Days Verification Examination","Documentation Evidence","This involves examining user accounts and last logon information to verify that any inactive user accounts are removed or disabled within 90 days of inactivity, fitting under the review of documents."
"8.2.6 (Part 2 - Interview Personnel)","Requirement 8.2.6.. Inactive User Accounts Management Compliance Verification Interview","Interview Evidence","This requires interviewing personnel to confirm that inactive user accounts are appropriately managed (removed or disabled) within 90 days of inactivity, aligning with the collection of interview notes."
"8.2.7 (Part 1 - Interview Personnel)","Requirement 8.2.7.. Third Party Remote Access Account Management Verification Interview","Interview Evidence","This involves interviewing personnel to verify that accounts used by third parties for remote access are managed according to all elements specified in this requirement, aligning with the collection of interview notes."
"8.2.7 (Part 2 - Examine Documentation)","Requirement 8.2.7.. Third Party Remote Access Account Management Documentation Examination","Documentation Evidence","This part involves examining documentation for managing accounts to confirm that accounts used by third parties for remote access are managed in accordance with all specified elements, fitting under the review of documents."
"8.2.7 (Part 3 - Examine Other Evidence)","Requirement 8.2.7.. Third Party Remote Access Account Management Compliance Evidence Examination","Documentation Evidence","This requires examining any other evidence related to the management of accounts used by third parties for remote access to ensure compliance with all specified elements, aligning with the review of documents."
"8.2.8","Requirement 8.2.8.. User Session Idle Timeout System Configuration Settings Verification Examination","Documentation Evidence","This involves examining system configuration settings to verify that system/session idle timeout features for user sessions have been set to 15 minutes or less, fitting under the review of system configuration documents to ensure compliance with the PCI DSS specifications."
"8.3.1.a","Requirement 8.3.1..a User Access Authentication Factors Documentation Examination","Documentation Evidence","This involves examining documentation describing the authentication factor(s) used to verify that user access to system components is authenticated via at least one authentication factor specified in this requirement, fitting under the review of documents."
"8.3.1.b","Requirement 8.3.1..b Authentication Factors Functionality Consistency Observation","Observation Evidence","This part involves observing an authentication for each type of authentication factor used with each type of system component to verify that authentication is functioning consistently with documented authentication factor(s), aligning with the observation of authentication processes."
"8.3.2.a","Requirement 8.3.2..a Authentication Factors Cryptography Protection Vendor Documentation and System Settings Examination","Documentation Evidence","This involves examining vendor documentation and system configuration settings to verify that authentication factors are rendered unreadable with strong cryptography during transmission and storage, fitting under the review of documents."
"8.3.2.b","Requirement 8.3.2..b Authentication Factors Unreadable Storage Verification Examination","Documentation Evidence","This part involves examining repositories of authentication factors to verify that they are unreadable during storage, aligning with the review of documents."
"8.3.2.c","Requirement 8.3.2..c Authentication Factors Transmission Cryptography Verification Examination","Documentation Evidence","This requires examining data transmissions to verify that authentication factors are unreadable during transmission, fitting under the review of transmission data and security measures."
"8.3.3 (Part 1 - Examine Procedures)","Requirement 8.3.3.. Authentication Factor Modification Procedures Verification Examination","Documentation Evidence","This involves examining procedures for modifying authentication factors to verify that when a user requests a modification of an authentication factor, the user???s identity is verified before the authentication factor is modified, fitting under the review of documented procedures."
"8.3.3 (Part 2 - Observe Security Personnel)","Requirement 8.3.3.. User Identity Verification for Authentication Factor Modification Observation","Observation Evidence","This part involves observing security personnel to verify that when a user requests a modification of an authentication factor, the user???s identity is verified before the authentication factor is modified, aligning with the observation of security practices and procedures."
"8.3.4.a","Requirement 8.3.4..a User Account Lockout Policy Configuration Settings Verification Examination","Documentation Evidence","This involves examining system configuration settings to verify that authentication parameters are set to require that user accounts be locked out after not more than 10 invalid logon attempts, fitting under the review of system configuration settings."
"8.3.4.b","Requirement 8.3.4..b User Account Post-Lockout Duration Configuration Settings Verification Examination","Documentation Evidence","This part involves examining system configuration settings to verify that password parameters are set to require that once a user account is locked out, it remains locked for a minimum of 30 minutes or until the user???s identity is confirmed, aligning with the review of system configuration settings."
"8.3.5 (Part 1 - Examine Procedures)","Requirement 8.3.5.. Passwords Passphrases Setting and Resetting Procedures Compliance Examination","Documentation Evidence","This involves examining procedures for setting and resetting passwords/passphrases (if used as authentication factors to meet Requirement 8.3.1) to verify that passwords/passphrases are set and reset in accordance with all elements specified in this requirement, fitting under the review of documented procedures."
"8.3.5 (Part 2 - Observe Security Personnel)","Requirement 8.3.5.. Passwords Passphrases Management Compliance Verification Observation","Observation Evidence","This part involves observing security personnel to verify that passwords/passphrases are set and reset in accordance with all elements specified in this requirement, aligning with the observation of security practices and procedures."
"8.3.6","Requirement 8.3.6.. Password Passphrase Complexity Configuration Settings Compliance Examination","Documentation Evidence","This involves examining system configuration settings to verify that user password/passphrase complexity parameters are set in accordance with all elements specified in this requirement, fitting under the review of system configuration settings."
"8.3.7","Requirement 8.3.7.. Password Passphrase History Configuration Settings Verification Examination","Documentation Evidence","This involves examining system configuration settings to verify that password parameters are set to require that new passwords/passphrases cannot be the same as the four previously used passwords/passphrases, aligning with the review of system configuration settings to ensure adherence to the password history policy."
"8.3.8.b","Requirement 8.3.8..b Authentication Policies Procedures Content Compliance Review","Documentation Evidence","This part involves reviewing authentication policies and procedures that are distributed to users and verifying they include the elements specified in this requirement, aligning with the review of documents."
"8.3.8.c","Requirement 8.3.8..c User Familiarity with Authentication Policies Procedures Verification Interview","Interview Evidence","This requires interviewing users to verify that they are familiar with authentication policies and procedures, aligning with the collection of interview notes."
"8.3.9","Requirement 8.3.9.. Single-Factor Password Passphrase Management Configuration Settings Compliance Examination","Documentation Evidence","This involves inspecting system configuration settings to verify that passwords/passphrases are managed in accordance with one of the elements specified in this requirement, aligning with the review of system configuration settings, particularly for scenarios where passwords/passphrases are the sole authentication factor."
"8.3.10","Requirement 8.3.1.0. Service Provider Customer User Single-Factor Authentication Guidance Compliance Examination","Documentation Evidence","This involves examining guidance provided to customer users to verify that the guidance includes all elements specified in this requirement, particularly for scenarios where passwords/passphrases are the sole authentication factor for customer user access to cardholder data. This fits under the review of guidance documents provided by the service provider."
"8.3.10.1","Requirement 8.3.1.0. 1 Service Provider Customer Access Single-Factor Authentication Configuration Settings Compliance Examination","Documentation Evidence","This involves inspecting system configuration settings to verify that passwords/passphrases, when used as the only authentication factor for customer user access, are managed in accordance with one of the elements specified in this requirement. This fits under the review of system conf"
"8.3.11.a","Requirement 8.3.1.1.a Authentication Factors Policy and Procedure Compliance Examination","Documentation Evidence","This involves examining authentication policies and procedures to verify that procedures for using authentication factors such as physical security tokens, smart cards, and certificates are defined and include all elements specified in this requirement, fitting under the review of documented policies and procedures."
"8.3.11.b","Requirement 8.3.1.1.b Individual User Authentication Factor Assignment Verification Interview","Interview Evidence","This requires interviewing security personnel to verify authentication factors are assigned to an individual user and not shared among multiple users, aligning with the collection of interview notes for compliance verification."
"8.3.11.c (Part 1 - System Configuration Settings)","Requirement 8.3.1.1.c Authentication Factor Usage Control System Settings Verification Examination","Documentation Evidence","This part involves examining system configuration settings to verify that controls are implemented to ensure only the intended user can use that factor to gain access, fitting under the review of system configuration settings."
"8.3.11.c (Part 2 - Physical Controls)","Requirement 8.3.1.1.c Authentication Factor Physical Usage Control Observation","Observation Evidence","This requires observing physical controls, as applicable, to verify that controls are implemented to ensure only the intended user can use that factor to gain access, aligning with the observation of physical controls and their effectiveness."
"8.4.1.a","Requirement 8.4.1..a MFA for Administrative Access to CDE Network System Configuration Verification Examination","Documentation Evidence","This involves examining network and/or system configurations to verify that Multi-Factor Authentication (MFA) is required for all non-console access into the Cardholder Data Environment (CDE) for personnel with administrative access, fitting under the review of network and system configuration settings."
"8.4.1.b","Requirement 8.4.1..b MFA Implementation for CDE Administrative Login Observation","Observation Evidence","This part involves observing administrator personnel logging into the CDE and verifying that MFA is required, aligning with the observation of authentication processes and practices in action."
